SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00000UGW9uYAH,1502 10TH ST BRIDGEPORT TX,FDH_Name__c,TX_BRIDGEPORT_AVR_2025Q3,TX_BRIDGEPORT_SA01_FDH02,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGW9uYAH,1502 10TH ST BRIDGEPORT TX,FDH_Activated_Date__c,2025-07-01,2024-07-31,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXwdYAH,806 13TH ST BRIDGEPORT TX,FDH_Name__c,TX_BRIDGEPORT_AVR_2025Q3,TX_BRIDGEPORT_SA01_FDH06,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXwdYAH,806 13TH ST BRIDGEPORT TX,FDH_Activated_Date__c,2025-07-01,2024-11-27,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXwdYAH,806 13TH ST BRIDGEPORT TX,Business_Building_Id__c,415bc606-23f7-49bd-8977-fb1b537c6459,40e26746-5e64-40bd-908c-e14abec4140b,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGVZrYAP,1010 KNIGHTS WAY HARKER HEIGHTS TX,Agreement_Name__c,,TX_HARKER HEIGHTS_SA02_FDH12_PA03,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWpmYAH,3045 STILLHOUSE LAKE RD HARKER HEIGHTS TX,Agreement_Name__c,TX_HARKER HEIGHTS_SA02_FDH12_PA03,TX_HARKER HEIGHTS_SA02_FDH12_PA04,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXe9YAH,615 N 8TH ST KILLEEN TX,FDH_Name__c,TX_KILLEEN_AVR_2025Q3,TX_KILLEEN_SA10_FDH04,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGXe9YAH,615 N 8TH ST KILLEEN TX,FDH_Activated_Date__c,2025-07-01,2024-12-30,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGVkbYAH,111 N 3RD ST JARRELL TX,FDH_Name__c,TX_JARRELL_AVR_2025Q3,TX_JARRELL_SA01_FDH02,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
